anon_screen_name,QuzAttmptAvg1,QuzCount1,QuzAvSco1,QuzLagMean1,LecLag1,LecCount1,VidActCount1,eff1,QuzAttmptAvg2,QuzCount2,QuzAvSco2,QuzLagMean2,LecLag2,LecCount2,VidActCount2,eff2,QuzAttmptAvg3,QuzCount3,QuzAvSco3,QuzLagMean3,LecLag3,LecCount3,VidActCount3,eff3,QuzAttmptAvg4,QuzCount4,QuzAvSco4,QuzLagMean4,LecLag4,LecCount4,VidActCount4,eff4,QuzAttmptAvg5,QuzCount5,QuzAvSco5,QuzLagMean5,LecLag5,LecCount5,VidActCount5,eff5,QuzAttmptAvg6,QuzCount6,QuzAvSco6,QuzLagMean6,LecLag6,LecCount6,VidActCount6,eff6,QuzAttmptAvg7,QuzCount7,QuzAvSco7,QuzLagMean7,LecLag7,LecCount7,VidActCount7,eff7,QuzAttmptAvg8,QuzCount8,QuzAvSco8,QuzLagMean8,LecLag8,LecCount8,VidActCount8,eff8,Finalgrade,FinalScore,Class,EngStatus
317549879fe672209ae9adc05067da85f3f7c8bb,1,12.5,66.67,31394820,0,0,24,27245,1,22.22222222,100,21675600,31545180,7.142857143,5,41524,0,0,0,0,0,0,0,25786,0,0,0,0,0,0,160,45069,0,0,0,0,0,0,8,8567,0,0,0,0,0,0,0,18111,0,0,0,0,0,0,0,26639,0,0,0,0,0,0,0,18219,0.94,Pass,AboveAvgEngaged,Time >=1 hour
3781fb6eadb2e7dd9843f17e5f8d6dede54e0ea4,0,0,0,0,60,12.5,1,0,2,11.11111111,100,27486300,0,7.142857143,0,0,3,16.66666667,100,27484980,27484280,42.85714286,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27535440,11.11111111,2,0,2,20,40,27535470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,Pass,BelowAverage,Time<10Mins
396dad6f8c7233d0c5ef1ea5ed69d8b2a995bb33,1.5,25,83.335,9390,360,12.5,0,0,2,11.11111111,100,6180,4080,7.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fail,BelowAverage,Time<10Mins
39bb788e4cbfc85518a4d4da6ed06b7a40d3a5ee,0,0,0,0,60221730,25,26,0,2,11.11111111,66.67,65196900,44090820,7.142857143,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9273,0,0,0,0,0,0,0,5902,0,0,0,0,0,0,0,1122,0.25,Fail,AverageEngaged,Time<1hour
3abd6031d09ba6c1bb12f6b2916d3265974de5a8,1.285714286,87.5,94.64285714,24454380,24478500,25,23,0,1.75,44.44444444,100,-8286840,0,7.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2950,0,0,0,0,0,0,0,6679,0.05,Fail,AverageEngaged,Time<30Mins
3b08fd8f4486497ec9a6052f213d91694537887e,0,0,0,0,0,0,9,0,0,0,0,0,0,0,13,9987,0,0,0,0,0,0,0,10020,0,0,0,0,25748010,22.22222222,44,5677,1,55.55555556,80,18285888,0,22.22222222,0,14748,1.666666667,60,70,-5672570,0,0,0,6276,1,16.66666667,100,64140,0,0,0,7153,0,0,0,0,0,0,0,7394,0.37,Fail,AboveAvgEngaged,Time >=1 hour
40f9138e01e195bed12501e404ace531942d941e,1,12.5,37.5,31537680,0,0,21,4388,0,0,0,0,0,0,0,5626,2,50,90.47333333,35507140,0,0,0,1611,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,Fail,AverageEngaged,Time<30Mins
424e4128d5b28ed238dfe855a8fdfa85b1b17bc0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,12,0,2.333333333,50,73.80666667,22510780,0,0,0,0,0,0,0,0,24932602.5,88.88888889,0,0,1,11.11111111,0,23894220,40507020,11.11111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4706,0.84,Pass,AverageEngaged,Time<20Mins
45ee20246e5215aba6d2e4bed861ba985c0341be,1,75,84.02833333,14515330,14052210,25,5,661,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,Fail,BelowAverage,Time<10Mins
46c8c76dd45964cd498fc81f2a3bf2b628c716e5,1,12.5,66.67,51425580,51425400,12.5,4,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fail,BelowAverage,Time<10Mins
