an n_screen_name,gender,year_ f_birth,level_ f_educati n,c untry_three_letters,c untry_name
6b7  a 77e28e33148b65e33f2f8ca359 52e9b8,m,1983,Bachel rs,R M,R mania
6b7  a 77e28e33148b65e33f2f8ca359 52e9b8,m,1983,Bachel rs,FRA,France
6b7  a 77e28e33148b65e33f2f8ca359 52e9b8,m,1983,Bachel rs,ITA,Italy
6b7  a 77e28e33148b65e33f2f8ca359 52e9b8,m,1983,Bachel rs,AUT,Austria
6b7  a 77e28e33148b65e33f2f8ca359 52e9b8,m,1983,Bachel rs,EST,Est nia
744884563a2819f4594af2b18f a9a27126e5 7d,m,1977,Masters  r pr fessi nal degree,BRA,Brazil
d8a  4 599e2b84b4215be8dbf46fa9c68 bd1c9,m,1986,Masters  r pr fessi nal degree,TUN,Tunisia
d8a  4 599e2b84b4215be8dbf46fa9c68 bd1c9,m,1986,Masters  r pr fessi nal degree,EGY,Egypt
d8a  4 599e2b84b4215be8dbf46fa9c68 bd1c9,m,1986,Masters  r pr fessi nal degree,USA,United States
d8a  4 599e2b84b4215be8dbf46fa9c68 bd1c9,m,1986,Masters  r pr fessi nal degree,FRA,France
e1b1ef48e5aede9fdd76c8dd31d7579d1f87c82b,f,1988,Sec ndary/High Sch  l,GHA,Ghana
5 5e29 2bd223d39711e3a3b3 c45a489ec13 9a,m,1987,Masters  r pr fessi nal degree,USA,United States
bbdf 85436 3e5be77db 5553a 2d8429f 7692d,m,1977,D ct rate,JPN,Japan
bbdf 85436 3e5be77db 5553a 2d8429f 7692d,m,1977,D ct rate,IND,India
bbdf 85436 3e5be77db 5553a 2d8429f 7692d,m,1977,D ct rate,USA,United States
e22fecc1dfbcf34b1e93ebee   efe541b7 852b,m,1978,Bachel rs,CHN,China
e22fecc1dfbcf34b1e93ebee   efe541b7 852b,m,1978,Bachel rs,PHL,Philippines
8ea51b7cf4de144a7f29eb  b93a43eaa86e68de,m,1987,Masters  r pr fessi nal degree,C L,C l mbia
88468b34c72a466bbba 5752b7fdb a3c2f542fa,f,199,Bachel rs,USA,United States
e81e2 3b1217b73d88fb55b381e81e375aeaad38,m,1987,Bachel rs,USA,United States
353ebde5ca1 c be133ee5c8ccf 2ab38 74 74f,f,1976,Bachel rs,NZL,New Zealand
e619d5 637a79d9e296d6838f8134773eb 8c1fe,m,1987,Sec ndary/High Sch  l,PRT,P rtugal
e619d5 637a79d9e296d6838f8134773eb 8c1fe,m,1987,Sec ndary/High Sch  l,SVK,Sl vakia (SL VAK Republic)
c4e2f128b3d4ca2d41d 76b67e197af7fa1bfb3a,f,1977,Sec ndary/High Sch  l,C L,C l mbia
8dd23a2ce87ac2f333bc6bf5d9fd 65b fec4ff3,m,1975,Bachel rs,JPN,Japan
8dd23a2ce87ac2f333bc6bf5d9fd 65b fec4ff3,m,1975,Bachel rs,CHN,China
8dd23a2ce87ac2f333bc6bf5d9fd 65b fec4ff3,m,1975,Bachel rs,K R,K rea Republic  f
2c8e6e65532 471d 74f54e1c741ca  116e4515,m,1951,Masters  r pr fessi nal degree,USA,United States
2c8e6e65532 471d 74f54e1c741ca  116e4515,m,1951,Masters  r pr fessi nal degree,ZZZ,Reserved
626ccbf6bd6d967f2b41a1aaa23ce5681e8f72c4,m,1984,Bachel rs,SGP,Singap re
57b82e8 a67cc88 c142 9221a51b3 b6 64b 57,m,199,Bachel rs,USA,United States
f68fe17ef8f4c6481477755ff62b12e5946132fd,m,1989,Ass ciates,IND,India
84d449b38cb82a5e8f4d9c6 23871778e434577c,m,1993,Sec ndary/High Sch  l,C L,C l mbia
adb ecb e9f83 32cd641293ce53 3a914e 2ca ,m,1967,Masters  r pr fessi nal degree,USA,United States
adb ecb e9f83 32cd641293ce53 3a914e 2ca ,m,1967,Masters  r pr fessi nal degree,AUS,Australia
3177c5f4ee 48 23 ca3e1e99278a3bffbd8dbce,f,1991,Bachel rs,IND,India
3177c5f4ee 48 23 ca3e1e99278a3bffbd8dbce,f,1991,Bachel rs,SGP,Singap re
55 365cba8f8f86d69ec8f82ac1fe51b397d1 f4,m,1978,Bachel rs,CZE,Czech Republic
c7e 4 3d 83f65 865ba492d163bb657b61f9b74,f,1992,Bachel rs,CHN,China
4cab194ef8b12c362be cdb84143e5549345 56 ,m,1995,Sec ndary/High Sch  l,IND,India
2b813 51176b1eecfeeb2e6c8f48eb7f31cc6a  ,m,1973,Masters  r pr fessi nal degree,IND,India
2b813 51176b1eecfeeb2e6c8f48eb7f31cc6a  ,m,1973,Masters  r pr fessi nal degree,CHN,China
3f1966e2ac181698e69259efdce84 eccb99f351,, ,User withheld,AUT,Austria
7d49bcd4fecc5c16d86dabeb55a7ac738 d16dd9,m,1974,Masters  r pr fessi nal degree,FRA,France
7d49bcd4fecc5c16d86dabeb55a7ac738 d16dd9,m,1974,Masters  r pr fessi nal degree,ITA,Italy
7d49bcd4fecc5c16d86dabeb55a7ac738 d16dd9,m,1974,Masters  r pr fessi nal degree,ZZZ,Reserved
c3687e2322affc99f c69bb 18d39ec737554244,m,1989,Bachel rs,TWN,Taiwan; Republic  f China (R C)
8774354dca258f4473942fdb75a5483edd4ee752,f,1983,Masters  r pr fessi nal degree,NGA,Nigeria
438518395 74d949517 42272b3b41a4d96c736e,m,1971,Masters  r pr fessi nal degree,TUR,Turkey
438518395 74d949517 42272b3b41a4d96c736e,m,1971,Masters  r pr fessi nal degree,ESP,Spain
a94fd22972874e947da5ba b43ae53f83c ec 7a,f,1981,Masters  r pr fessi nal degree,USA,United States
f4286776b69b61293be4d253394a2 8f142f8a1e,m, ,Masters  r pr fessi nal degree,GBR,United Kingd m
f4286776b69b61293be4d253394a2 8f142f8a1e,m, ,Masters  r pr fessi nal degree,FRA,France
abca 819d95338e8 2efd146488f3723dab3ef71,m,1983,Masters  r pr fessi nal degree,IND,India
c9ed db6bf632877d6 662a a886e7 b8fe969f3,m,1986,Masters  r pr fessi nal degree,DNK,Denmark
c9ed db6bf632877d6 662a a886e7 b8fe969f3,m,1986,Masters  r pr fessi nal degree,BEL,Belgium
c9ed db6bf632877d6 662a a886e7 b8fe969f3,m,1986,Masters  r pr fessi nal degree,USA,United States
c9ed db6bf632877d6 662a a886e7 b8fe969f3,m,1986,Masters  r pr fessi nal degree,NLD,Netherlands
c9ed db6bf632877d6 662a a886e7 b8fe969f3,m,1986,Masters  r pr fessi nal degree,GBR,United Kingd m
c9ed db6bf632877d6 662a a886e7 b8fe969f3,m,1986,Masters  r pr fessi nal degree,DEU,Germany
 6e3b6 19397712fb2123e81348f9d56ffd8da1e,, ,User withheld,CHN,China
 6e3b6 19397712fb2123e81348f9d56ffd8da1e,, ,User withheld,USA,United States
 6e3b6 19397712fb2123e81348f9d56ffd8da1e,, ,User withheld,ZZZ,Reserved
 775b2f5bc2db9c9a97aab8d9decf29c edf1c6b,f,1978,Ass ciates,HKG,H ng K ng
e  afb5d83ba7d5976ccefa4fb136ada19aa3859,m,1995,Sec ndary/High Sch  l,IND,India
d2a5d3 ddf44b74efdb74712271cd2736 7e49c ,m,1991,Bachel rs,LBY,Libyan Arab Jamahiriya
d2a5d3 ddf44b74efdb74712271cd2736 7e49c ,m,1991,Bachel rs,FRA,France
d2a5d3 ddf44b74efdb74712271cd2736 7e49c ,m,1991,Bachel rs,USA,United States
d2a5d3 ddf44b74efdb74712271cd2736 7e49c ,m,1991,Bachel rs,SYC,Seychelles
1eb d765f9f2c631356b c41c 651b3f6d22d926,m,1967,Bachel rs,BRA,Brazil
4a2a4ce3feabf1a63 f9e5a796d241596 5 6d 5,m,1983,Masters  r pr fessi nal degree,USA,United States
929dd6b1f48 b366882135ac48c4e162c193ce81,m,1987,Masters  r pr fessi nal degree,MRT,Mauritania
c9 9ec 373315 12633c5e2f43bf8751c6de78de,m,1985,Masters  r pr fessi nal degree,FRA,France
6bdd3 cc83973f8e 5c3 3221b646c2f 93 7918,m,1988,Bachel rs,USA,United States
c7737278adb8db  db6d69b121b876a91733d134,m,199,Sec ndary/High Sch  l,C L,C l mbia
