an n_screen_name,gender,year_ f_birth,level_ f_educati n,c untry_three_letters,c untry_name
ac6 2ac66c63ca147c9 57213e556dea98b6e83a,m,1989,Masters  r pr fessi nal degree,IND,India
d66 466488df 72337 d21b228a52b4768b 4417,m,1993,Bachel rs,IND,India
3a7b72ffc53d9dcc34b33bb47e19f99376a57fd8,m,1976,Masters  r pr fessi nal degree,HKG,H ng K ng
46e81d d 2c118cf5aa96c8bcd1 56 d68e824af,f,1988,Masters  r pr fessi nal degree,USA,United States
b5dbec221a2483978be11ada24 a1b677cc58dbe,m,1985,Bachel rs,USA,United States
d   a833f984d87f18c6de783b fe6bd77c8dfe6,f,1969,Masters  r pr fessi nal degree,USA,United States
c482bf1 29918735aeac8882251fb aadf971ad3,m,1972, ther,ISR,Israel
c482bf1 29918735aeac8882251fb aadf971ad3,m,1972, ther,FRA,France
d17461c25 479513f17fd46748b527 b4a 2 482,f,1988,Masters  r pr fessi nal degree,IND,India
211521adef978cf8aeef2ebfd1b634 e724ee2b8,f,1984,Masters  r pr fessi nal degree,IND,India
211521adef978cf8aeef2ebfd1b634 e724ee2b8,f,1984,Masters  r pr fessi nal degree,CHN,China
5c4fe4d8efa172f66e6b a3 e61864e58cefaecb,m,1984,Bachel rs,PAK,Pakistan
5c4fe4d8efa172f66e6b a3 e61864e58cefaecb,m,1984,Bachel rs,ARE,United Arab Emirates
bb 1d3814635251e7668b762728829787d4f2e44,m,1985,Masters  r pr fessi nal degree,USA,United States
bb 1d3814635251e7668b762728829787d4f2e44,m,1985,Masters  r pr fessi nal degree,AUT,Austria
bb 1d3814635251e7668b762728829787d4f2e44,m,1985,Masters  r pr fessi nal degree,GBR,United Kingd m
c69cbb74131dc8 57d3bcfa593 24e37521b3444,m,1989,Bachel rs,IND,India
d2c2fb91efc1958f65bc3f1aaed718a66a63cfb7,m,1988,Bachel rs,BGD,Bangladesh
c215d8bab4a2bbbd35c4 a23416f 2b9b 4 56d ,m,1987,Masters  r pr fessi nal degree,BGR,Bulgaria
c215d8bab4a2bbbd35c4 a23416f 2b9b 4 56d ,m,1987,Masters  r pr fessi nal degree,R M,R mania
c215d8bab4a2bbbd35c4 a23416f 2b9b 4 56d ,m,1987,Masters  r pr fessi nal degree,DEU,Germany
39d3a689781dfebccf75e1e5a6d2fbf3de743e9c,m,1988,Bachel rs,AUS,Australia
c 59f1c26dccba1af3e155e329f31 a11a3f9113,m,198,Masters  r pr fessi nal degree,IND,India
b ecb5518ff281 b55b29fa93b2eae2f88f8b191,m,1963,D ct rate,DEU,Germany
ea294a1838875 98a4929a44afc3792a342b2f8a,m,1985,Masters  r pr fessi nal degree,IND,India
5143b6878ba5966533cfaad4dd81cfd1 1fdee84,, ,Bachel rs,GBR,United Kingd m
5143b6878ba5966533cfaad4dd81cfd1 1fdee84,, ,Bachel rs,IND,India
d1ca336ba3e3bdf7ae36a999e38 a1a3722ec74b,m,1982,D ct rate,IND,India
d1ca336ba3e3bdf7ae36a999e38 a1a3722ec74b,m,1982,D ct rate,CHN,China
 791d3615a472a861ecdd6 56a95 4a2 dfd34f1,f,1956,Bachel rs,USA,United States
d2ae2ee868e8 bbe3b99b2e8ad91f428c9cf425b,m,1992,Sec ndary/High Sch  l,FIN,Finland
d2ae2ee868e8 bbe3b99b2e8ad91f428c9cf425b,m,1992,Sec ndary/High Sch  l,USA,United States
4b53aa de93 58188578ad9cca5 857a3ff114a7,m,199,Masters  r pr fessi nal degree,IND,India
7997 14fd17f439192ef3c686b48 54343f8cfc6,m,1986,Masters  r pr fessi nal degree,USA,United States
2 1457a55f15f93925d d7f1 dd 4 7468f 4659,, ,User withheld,USA,United States
42e44 d6d5ea1e2f66ca8 82bec217dcf862d 56,m,1988,Masters  r pr fessi nal degree,USA,United States
 a79db1443d6d5771 dcba93a959e 1e5 33c529,m,1991,Bachel rs,IND,India
 a79db1443d6d5771 dcba93a959e 1e5 33c529,m,1991,Bachel rs,USA,United States
8ce7a54934c8bdbf56d16f98d7d5a368d5acc848,m,1998,Sec ndary/High Sch  l,USA,United States
cbce2d1 c8d ad199648a7558 df9c342fb82ebb,f,1978,Masters  r pr fessi nal degree,USA,United States
92e 4f9be8cd6355c85 48462cb7cbd2f642b67c,m,1979,Masters  r pr fessi nal degree,SWE,Sweden
92e 4f9be8cd6355c85 48462cb7cbd2f642b67c,m,1979,Masters  r pr fessi nal degree,GBR,United Kingd m
92e 4f9be8cd6355c85 48462cb7cbd2f642b67c,m,1979,Masters  r pr fessi nal degree,N R,N rway
45 c92b4bf1a3c6dcd346dbecdb9ba 1d36fd7 2,, ,User withheld,THA,Thailand
caba6d54d6ebdc4d db121777 271ed5bdaedc63,f,1988,Bachel rs,MEX,Mexic 
3f1 c4be4248b59b294d1e3dc58edbec caa553 ,f,1985,Masters  r pr fessi nal degree,RUS,Russian Federati n
 6ccb2baead66b6273c b722884b886b62 5dde5,m,1991,Bachel rs,IND,India
89d4 edae65 5372b68162bcf45 38c1e9a6f4c4,m,1981,Masters  r pr fessi nal degree,CAN,Canada
a4c232daff3fdda86b959577655d9b317de5f9f ,m,1982,Masters  r pr fessi nal degree,ETH,Ethi pia
66ae627cd aa2d9af6117bc112c7f ffa 123a44,f,1984,Sec ndary/High Sch  l,ARG,Argentina
e11b55 e29fd256ed9fe32d68633f2cc383aaecf,m,1971,Masters  r pr fessi nal degree,IDN,Ind nesia
59bc42da7f86a3b9 bdb17f5327fcf35c83f9c5d,, ,User withheld,USA,United States
 45cd7 fba612ccee697da31277dea1f725fc78c,f, ,Bachel rs,KAZ,Kazakhstan
33d1  36 d384da3 1fa8e9ff399db696bfe5f9a,f,1989,Masters  r pr fessi nal degree,GBR,United Kingd m
33d1  36 d384da3 1fa8e9ff399db696bfe5f9a,f,1989,Masters  r pr fessi nal degree,FRA,France
23566877 9 1574bfcdb7393f3e8b9ac9 fea92f,f,1977,Masters  r pr fessi nal degree,IND,India
9a1cf279ecbfed7acb2ceeb 86688795a88ea1 b,m,1991,Bachel rs,IND,India
9a1cf279ecbfed7acb2ceeb 86688795a88ea1 b,m,1991,Bachel rs,ZZZ,Reserved
be5 9397f2f154d 2f8683 b93151b1d6cefdd 1,m,1997,Sec ndary/High Sch  l,USA,United States
be5 9397f2f154d 2f8683 b93151b1d6cefdd 1,m,1997,Sec ndary/High Sch  l,ITA,Italy
85d6eed6966 eca5684962fd69388e515c4dfa99,m,1985,Masters  r pr fessi nal degree,N R,N rway
85eee75d8ecece265f87594da333efe56921   5,m,1984,Masters  r pr fessi nal degree,UKR,Ukraine
a f7 424ed2dd6cdc2ef69 b4b43188e987a987b,m,1985,Bachel rs,SAU,Saudi Arabia
 977c19efe 834577d69a5e2d5e512287e69efe9,f,1982,Masters  r pr fessi nal degree,DEU,Germany
cc 1d98fed73f1237454bdc 731ad 8de385174b,f,1979,Bachel rs,TUR,Turkey
2a5b5 1da4ae3b7f739d412b836a4c  82 9ff 7,m,1978,Masters  r pr fessi nal degree,USA,United States
e3e8b1c9994 a2817 3 9d99e4bd17fa92 bf84a,f,1989,Masters  r pr fessi nal degree,IND,India
b8b2f8f85f85f372c182e9 65 ff1139e63f2543,m,1981,Masters  r pr fessi nal degree,TUR,Turkey
68bfc95 cfc2f41 48fa1 93286da2aff6b4a2a2,f,1974,Masters  r pr fessi nal degree,LVA,Latvia
bf75e2d9a58f4ee7b9ae 4c1ad22ded8bde c351,m,1984,Masters  r pr fessi nal degree,IND,India
7c6 ab978a8 94cc813e474b518f88e c12c8dfa,m,198,Masters  r pr fessi nal degree,USA,United States
7c6 ab978a8 94cc813e474b518f88e c12c8dfa,m,198,Masters  r pr fessi nal degree,CHN,China
7addcd972ab83cd3ecdcf9c714ea862c9 5b6a85,f,1989,Bachel rs,USA,United States
7addcd972ab83cd3ecdcf9c714ea862c9 5b6a85,f,1989,Bachel rs,IND,India
97b3119845 f4cd18bb899311c1fc23625a 3675,m,1974,Masters  r pr fessi nal degree,ARE,United Arab Emirates
1da6a95e4771 3bede13f8dd79aa24e48 6 5c82,f,1989,Masters  r pr fessi nal degree,IND,India
34c 6af8d45ee5a3fad1ffe1183f133245ff1661,m,1974,Bachel rs,USA,United States
eabe 5568 935692862  ba12 c65e38a18b21ad,m,1986,Masters  r pr fessi nal degree,USA,United States
eabe 5568 935692862  ba12 c65e38a18b21ad,m,1986,Masters  r pr fessi nal degree,CHN,China
eabe 5568 935692862  ba12 c65e38a18b21ad,m,1986,Masters  r pr fessi nal degree,ZZZ,Reserved
bbfcfb6c794e6e 26af935d3b1 5cf 69332f9ea,m,1981,D ct rate,GBR,United Kingd m
657d8c558f931758d71decc9b5d392cd148e43d9,f,1985,Bachel rs,IND,India
7df2b a6bc8d18fd3dff365437c52a ba4 62f8c,f,199,Masters  r pr fessi nal degree,FRA,France
7df2b a6bc8d18fd3dff365437c52a ba4 62f8c,f,199,Masters  r pr fessi nal degree,GBR,United Kingd m
ae5df5faab88ac6dd b5166ddd 98658f 4a733c,m,1976,Bachel rs,KEN,Kenya
 9427f979a 335336dbad9beb 799feb 1b43acd,m,1987,Bachel rs,GBR,United Kingd m
4fa8ab4de985a5de5558baf 6d4fe7f95c4bf2c8,f,1975,Masters  r pr fessi nal degree,IND,India
5682a6ddbfbaf54787126f228e2d75847c9c1 2a,m,1975,Masters  r pr fessi nal degree,CHN,China
4898d c1a821ed3adcce54bb5ee53fc 3b38d419,f, ,Masters  r pr fessi nal degree,TUR,Turkey
4898d c1a821ed3adcce54bb5ee53fc 3b38d419,f, ,Masters  r pr fessi nal degree,FRA,France
b441aae8d3 c 8 5d21565fbb3cbd58199b6d1 f,m,1975,Masters  r pr fessi nal degree,SRB,Serbia
fdb78eb28 49 613 b2c21e346e 3ab778 8da85,f, ,Masters  r pr fessi nal degree,MWI,Malawi
  ded13d7cdcc5e83443c489279f 93c52 2 a56,m,1978,Bachel rs,CHN,China
  ded13d7cdcc5e83443c489279f 93c52 2 a56,m,1978,Bachel rs,IND,India
 69c6 19fd 8e 4fda748256 5d9f752a1c56914,m,198,Masters  r pr fessi nal degree,JPN,Japan
86af3c87cad723ed3 ceddd11b4e3d95 7752986,f,1974,Bachel rs,LVA,Latvia
195baad2d6ef51cfe12dbe5832d268c89d7e a27,m,1953,Bachel rs,USA,United States
 e527518a1939d41516f57b75188ff2e55f81e4a,m,1974,Bachel rs,M Z,M zambique
 e527518a1939d41516f57b75188ff2e55f81e4a,m,1974,Bachel rs,TZA,Tanzania United Republic  f
d15853bc76cc5c6afbcbde 8f494cc3c45 85626,m,1997,Sec ndary/High Sch  l,IND,India
d15853bc76cc5c6afbcbde 8f494cc3c45 85626,m,1997,Sec ndary/High Sch  l,CHN,China
d15853bc76cc5c6afbcbde 8f494cc3c45 85626,m,1997,Sec ndary/High Sch  l,GBR,United Kingd m
d15853bc76cc5c6afbcbde 8f494cc3c45 85626,m,1997,Sec ndary/High Sch  l,ZZZ,Reserved
d15853bc76cc5c6afbcbde 8f494cc3c45 85626,m,1997,Sec ndary/High Sch  l,USA,United States
eef662d66611337c42c6 7fb8 b4e86598f758c8,m,1978,Masters  r pr fessi nal degree,IND,India
c2fa d2eade 6 7937826d2dea c1 66cf845 87,f,1981,Bachel rs,USA,United States
c2fa d2eade 6 7937826d2dea c1 66cf845 87,f,1981,Bachel rs,IND,India
c 1875a82 1992e7ecb9fd4cdf6926f46b91eea8,m,1992,Bachel rs,IND,India
f7429dbbb9 56 9e54a952bf231a e6  1217ab3,m,1957,Masters  r pr fessi nal degree,IND,India
2eeca86f1722981639a d89f4f493 6a b2c3bc6,f,1963,Masters  r pr fessi nal degree,LTU,Lithuania
ab26235aa3c b a2ffbf231613433b4794cfe367,m,1985,Masters  r pr fessi nal degree,ETH,Ethi pia
 2c6dc17c426bb2636d67ef1c1f1c6aa83f 46af,, ,User withheld,AUS,Australia
 87 6 57 cd  9e96417ece4a7fcfec7a74e ff3,f,1981,Masters  r pr fessi nal degree,P L,P land
a2 666afaffae42863bcf5e7f48 a aa11be87 1,m,199,Masters  r pr fessi nal degree,IND,India
a3888c766774877 53f5a484addef5b6dbb86f8 ,m,1993,Sec ndary/High Sch  l,IND,India
a3888c766774877 53f5a484addef5b6dbb86f8 ,m,1993,Sec ndary/High Sch  l,USA,United States
a3888c766774877 53f5a484addef5b6dbb86f8 ,m,1993,Sec ndary/High Sch  l,CAN,Canada
a3888c766774877 53f5a484addef5b6dbb86f8 ,m,1993,Sec ndary/High Sch  l,AUS,Australia
49f2d b365f987a9f7 9a233681aaa 98fdd6ea ,m,1985,Bachel rs,USA,United States
  8 ddbbc548c9cacf7  4f43ab24be45d898ca4,f, ,Bachel rs,SGP,Singap re
e9a7 ea2fde76224789fbebbb898d9 c579eb 13,m,1986,Masters  r pr fessi nal degree,ITA,Italy
e9a7 ea2fde76224789fbebbb898d9 c579eb 13,m,1986,Masters  r pr fessi nal degree,FRA,France
e9a7 ea2fde76224789fbebbb898d9 c579eb 13,m,1986,Masters  r pr fessi nal degree,HUN,Hungary
5ba2c27 4e63a14e487479cc2 781913e7 d8f71,m,1988,Bachel rs,JPN,Japan
5ba2c27 4e63a14e487479cc2 781913e7 d8f71,m,1988,Bachel rs,BRA,Brazil
a398d6b871d6  d6fe87eb8a33661bdaafc4627b,m,197,D ct rate,RUS,Russian Federati n
a398d6b871d6  d6fe87eb8a33661bdaafc4627b,m,197,D ct rate,GBR,United Kingd m
e312fafcec7c73187ee76f866a778185261495c4,m,1981,Masters  r pr fessi nal degree,USA,United States
d4e71fbb953ebb477af47b12be441833adeda9 a,m,1991,Bachel rs,IND,India
d4e71fbb953ebb477af47b12be441833adeda9 a,m,1991,Bachel rs,ZZZ,Reserved
d4e71fbb953ebb477af47b12be441833adeda9 a,m,1991,Bachel rs,USA,United States
c d2162 61918b73512228ee966dd12  2c9857 ,m,1979,Masters  r pr fessi nal degree,GHA,Ghana
7 dd71f2d6238 a5 d18da7f764147e255d24cea,f,198,Bachel rs,K R,K rea Republic  f
b1ab2d3  f321e327d 6f 248aa 5f6b86d579ed,m,1981,Masters  r pr fessi nal degree,HKG,H ng K ng
b1ab2d3  f321e327d 6f 248aa 5f6b86d579ed,m,1981,Masters  r pr fessi nal degree,IND,India
b1ab2d3  f321e327d 6f 248aa 5f6b86d579ed,m,1981,Masters  r pr fessi nal degree,JEY,Jersey
117774331f3c1332f98d16ca627 4a246498fd3f,f,1991,Bachel rs,RUS,Russian Federati n
c e6789b22b3 33d3a9758 718be93f38d39 98b,m,1988,Masters  r pr fessi nal degree,USA,United States
c e6789b22b3 33d3a9758 718be93f38d39 98b,m,1988,Masters  r pr fessi nal degree,IRN,Iran (ISLAMIC Republic  f)
a76ae2f c7ddfcb83eafd6c882cad1 f55f86ed8,m,1968,Masters  r pr fessi nal degree,ESP,Spain
5a99487a7c7a888259376ac1f3ff2b 89b964699,m,1965,Masters  r pr fessi nal degree,NPL,Nepal
e 1d4e529b4e a7bc566f21265b41a5c3 52637c,m,1983,Masters  r pr fessi nal degree,IRN,Iran (ISLAMIC Republic  f)
e 1d4e529b4e a7bc566f21265b41a5c3 52637c,m,1983,Masters  r pr fessi nal degree,USA,United States
7e9439e b14ecc11 83d165c3e46 a258b2a5e6b,m,1994,Sec ndary/High Sch  l,EU,Eur pean Uni n
8db e78cb3b 4 ef 43 7aab262f6d79c9216f36,f,1984,Masters  r pr fessi nal degree,DNK,Denmark
8db e78cb3b 4 ef 43 7aab262f6d79c9216f36,f,1984,Masters  r pr fessi nal degree,BEL,Belgium
9d9b24b9bd78c86b6b315866ce2a28457e3cbb9f,f,1978,Masters  r pr fessi nal degree,GRC,Greece
521f7 cdb94e5487 a85e125f1 1229b 1316681,m,1969,Masters  r pr fessi nal degree,IND,India
f71a8c88918b382e 92a56d251fa2e243a26c161,m,1983,Masters  r pr fessi nal degree,JPN,Japan
 eaf245239fe165e9a8c53836 c7 eacb8bf7c2 ,f,1977,D ct rate,RUS,Russian Federati n
 eaf245239fe165e9a8c53836 c7 eacb8bf7c2 ,f,1977,D ct rate,ZZZ,Reserved
 eaf245239fe165e9a8c53836 c7 eacb8bf7c2 ,f,1977,D ct rate,USA,United States
6dfe26 723de862218fa266 3569 2dece3 97f8,m,1991,Bachel rs,CHN,China
6dfe26 723de862218fa266 3569 2dece3 97f8,m,1991,Bachel rs,IND,India
216b13fa629 31699b91aea1253d4ea2c5fed4fe,m,1982,Bachel rs,MEX,Mexic 
216b13fa629 31699b91aea1253d4ea2c5fed4fe,m,1982,Bachel rs,USA,United States
dd8b4f9564155c66a2a7d71deb ff326867c8c87,m,1974,Bachel rs,USA,United States
d187d4515e9 ba9b2ad271 2d1776abe1e7dc3 1,m,1979,Bachel rs,PAK,Pakistan
f2de4cf48336a583cf234988146171 7e48eb6ed,f,1988,Bachel rs,BGR,Bulgaria
 828819f1e1e3 861b2d 575 af1d66a6a58677f,m,1968,Bachel rs,HKG,H ng K ng
959 1f  82dfb8bf61685fb6325 d9a32835ea36,m,1984,Bachel rs,IND,India
9c8ca8bcdb2a1b18a86 17aa94877751c15f1e41,m,1989,Bachel rs,TUR,Turkey
 b436e72dbc e8fcb ee658fc18e721cda928dc3,m,1985,Bachel rs,FRA,France
a98a817ebae23633bcdba946 922c6f39c91 bc2,f,1992,Sec ndary/High Sch  l,IND,India
6bc533148ba ed8 4 b7dbc35759755b89dd55a7,f,198,Masters  r pr fessi nal degree,ESP,Spain
6bc533148ba ed8 4 b7dbc35759755b89dd55a7,f,198,Masters  r pr fessi nal degree,GBR,United Kingd m
 59d1e6329c3c48 f43f3e6f 5a949fafc8e312d,f,1989,Bachel rs,VNM,Viet Nam
66b824e22ee4f214d282d183a98df8e5d712981b,m,1973,Bachel rs,ESP,Spain
742c48f1d533ef715cc9b31c3dafa ad2f12c543,m,199,Masters  r pr fessi nal degree,IND,India
effdb8911b8a 81d89b85c66eccef3b43e1d65d4,m,1982,Masters  r pr fessi nal degree,NLD,Netherlands
dd1cb314f8e4a75297ccdd87e3d6a1fa3b7d7ddf,m,1985,Masters  r pr fessi nal degree,GRC,Greece
33a64a7732a4b845d83825e3d 5f3b749dc16325,f,1981,Masters  r pr fessi nal degree,SRB,Serbia
4 bd63bf 9a82 6 fbecc39d6c13a4aa684824da,m,1961,Bachel rs,ITA,Italy
b68c3667fbde97a7a35cd1f19d9c1d9 6c5bb622,m,1975,Masters  r pr fessi nal degree,IRN,Iran (ISLAMIC Republic  f)
2e7cf 7cb62dbbade86 25dc 27a55259dba ba2,m,1984,Bachel rs,IND,India
2aad7a6a287c88e7d 614269b86dd4573ef36a7e,m,1981,Masters  r pr fessi nal degree,ITA,Italy
9e ecb648be 7ec5b9925 f78381517ce3e781a ,m,1977,Masters  r pr fessi nal degree,FRA,France
a5c5 7c6d93fbed1 fdce6f996965b2513556c 9,f,1971,D ct rate,IND,India
2319 b f1234 f 9abbee899ebbca955a8448e8e,m,1969,Masters  r pr fessi nal degree,IND,India
9 fe459476c8 db8229f337f41968 b186522118,m,1981,Masters  r pr fessi nal degree,ITA,Italy
9 fe459476c8 db8229f337f41968 b186522118,m,1981,Masters  r pr fessi nal degree,AUT,Austria
9 fe459476c8 db8229f337f41968 b186522118,m,1981,Masters  r pr fessi nal degree,ESP,Spain
 d67fe36c5e665d4e7b45afe2766858219 c358f,, ,User withheld,ETH,Ethi pia
dda23 b7 b5 1413bd4cb39439749be862 924ef,m, ,D ct rate,IRN,Iran (ISLAMIC Republic  f)
aba848e 68f4a f3db2e6bd4da68ef e98 ac2fb,m,197,Masters  r pr fessi nal degree,USA,United States
f769f9caaf 83692bb64f f14ac5 aed92c22588,f,1984,Masters  r pr fessi nal degree,ITA,Italy
f61d37 a76ef 6385b95 e84ada92ac6c8444e73,m,1995,Sec ndary/High Sch  l,IND,India
3699de8386d14a99e87fd3e32 77e7a658f 44b7,m,1977,Bachel rs,TUR,Turkey
af9d4f8b4614d9d37d6118f7b53ed7347969755f,m,1983,D ct rate,DEU,Germany
af9d4f8b4614d9d37d6118f7b53ed7347969755f,m,1983,D ct rate,UKR,Ukraine
af9d4f8b4614d9d37d6118f7b53ed7347969755f,m,1983,D ct rate,TUR,Turkey
af9d4f8b4614d9d37d6118f7b53ed7347969755f,m,1983,D ct rate,FRA,France
227221a2f5e5911 abba 2 36 6922 a77615248,m,1987,Masters  r pr fessi nal degree,ESP,Spain
4ac2 6e1d1 515afedb6cbe266fcd58  6adc2d6,m,1962,Bachel rs,NIC,Nicaragua
accfea8c14d2a5 86235a1f8e338 1 ba 8 e8 a,f, ,D ct rate,ISR,Israel
3 4561bd1 8462e2 3ac8ae81d1b5dbbd6745fa5,f,1987,Masters  r pr fessi nal degree,P L,P land
891 437b71db535ec1ef593e968a44126 395385,f,1982,Masters  r pr fessi nal degree,GBR,United Kingd m
deb3dd3cbc17c4ce1c9461195dba615a6e95a28c,f,1977,D ct rate,BEL,Belgium
deb3dd3cbc17c4ce1c9461195dba615a6e95a28c,f,1977,D ct rate,LUX,Luxemb urg
fcec7d6 1d31a36d711fa6fb22af42f9b776dd8b,m,1984,Bachel rs,KEN,Kenya
f4d42f1c4e5e7f 95294f 6c 8c7a9e2c637f289,f,1964,Sec ndary/High Sch  l,NLD,Netherlands
3 863b8a3d9da377a53155c8ca9a6ae2b154 e25,m,1984,Masters  r pr fessi nal degree,ETH,Ethi pia
afbc2948b 4d1251 5 53bb55 879c9876c8d629,f,1985,Masters  r pr fessi nal degree,R M,R mania
c84a74315cce46eb338af2cd2731c3ff875456 6,m,198,Bachel rs,SAU,Saudi Arabia
c2944d722 6e2721dc9187b9719eba33dc1b8b 4,m,1981,Masters  r pr fessi nal degree,IND,India
c2944d722 6e2721dc9187b9719eba33dc1b8b 4,m,1981,Masters  r pr fessi nal degree,USA,United States
44789ae2482947fde282 f  72de26ec2c5e49e8,m,1977,Masters  r pr fessi nal degree,IND,India
39d7a3a95 95b2 dd4 efa 2 c6c62df33847546,f, ,Masters  r pr fessi nal degree,CZE,Czech Republic
 e24f213be73f48cad172bfacc628b2b65b4b 1f,m,1974,Bachel rs,PAK,Pakistan
2fd6d8376df8a9b f9 1ae9f3 a231f4ac d65bb,m,1992,Sec ndary/High Sch  l,USA,United States
2fd6d8376df8a9b f9 1ae9f3 a231f4ac d65bb,m,1992,Sec ndary/High Sch  l,IRN,Iran (ISLAMIC Republic  f)
2fd6d8376df8a9b f9 1ae9f3 a231f4ac d65bb,m,1992,Sec ndary/High Sch  l,ITA,Italy
392a939 56dc39 e 6a ccc9a39f9fa8396b591a,m,1972,Masters  r pr fessi nal degree,USA,United States
392a939 56dc39 e 6a ccc9a39f9fa8396b591a,m,1972,Masters  r pr fessi nal degree,LUX,Luxemb urg
392a939 56dc39 e 6a ccc9a39f9fa8396b591a,m,1972,Masters  r pr fessi nal degree,ESP,Spain
 bdf1 e92bd286 ea db8b22 1de8f4859d72d74,f,1974,D ct rate,USA,United States
d487133b96b961fe49e4 b7dc5d48e2f67c36717,, ,User withheld,PRT,P rtugal
a12a69 79bcc74db59332d7 575ec7 1e4669f26,m,1987,Masters  r pr fessi nal degree,NLD,Netherlands
a12a69 79bcc74db59332d7 575ec7 1e4669f26,m,1987,Masters  r pr fessi nal degree,DEU,Germany
a12a69 79bcc74db59332d7 575ec7 1e4669f26,m,1987,Masters  r pr fessi nal degree,ESP,Spain
a12a69 79bcc74db59332d7 575ec7 1e4669f26,m,1987,Masters  r pr fessi nal degree,HRV,Cr atia (L CAL Name: Hrvatska)
a12a69 79bcc74db59332d7 575ec7 1e4669f26,m,1987,Masters  r pr fessi nal degree,N R,N rway
53595d8992bcd598f79aa7ee2d4de3125194b 3f,m,1987,Masters  r pr fessi nal degree,USA,United States
53595d8992bcd598f79aa7ee2d4de3125194b 3f,m,1987,Masters  r pr fessi nal degree,IRN,Iran (ISLAMIC Republic  f)
b6a341599f8982 e edb436588ee 6f14 bca728, , , ,USA,United States
ac7bbe934  415ad6e92d17d 84d794 bc7 5989,m,1972,D ct rate,GBR,United Kingd m
ac7bbe934  415ad6e92d17d 84d794 bc7 5989,m,1972,D ct rate,DNK,Denmark
ac7bbe934  415ad6e92d17d 84d794 bc7 5989,m,1972,D ct rate,P L,P land
117c85fbb8c86bdbb1a395 d444353dadd1c b16,m,1992,Bachel rs,TWN,Taiwan; Republic  f China (R C)
26a75172f7befc3 5adf69f 895bfde34e e2 58,m,199,Sec ndary/High Sch  l,IND,India
26a75172f7befc3 5adf69f 895bfde34e e2 58,m,199,Sec ndary/High Sch  l,ARE,United Arab Emirates
59a df5 1914bd4a429c9ffdbb7d272f91dcd849,m,1985,Masters  r pr fessi nal degree,IND,India
274756fbd6144a 2f63d9d7558 1fc 2 c8554b1,m,1968,Masters  r pr fessi nal degree,P L,P land
274756fbd6144a 2f63d9d7558 1fc 2 c8554b1,m,1968,Masters  r pr fessi nal degree,ESP,Spain
594 b 4669761224bd1c1747e47d83a94d9bb26a,m,1999,N ne,RUS,Russian Federati n
594 b 4669761224bd1c1747e47d83a94d9bb26a,m,1999,N ne,GBR,United Kingd m
335a462bedda9561 d91d7157528e a545528d68,m,1988,Masters  r pr fessi nal degree,USA,United States
db97156 fa32c826133a6222d8f8cdc5f3166e73,f,1968,Bachel rs,ITA,Italy
9947b1 8ce3eec4d747625bac9172e7478b6f5bd,m,198,Masters  r pr fessi nal degree,USA,United States
7242d4568 99f761e638bdab637c f7ebeecc6c2,m,1992,Sec ndary/High Sch  l,P L,P land
7242d4568 99f761e638bdab637c f7ebeecc6c2,m,1992,Sec ndary/High Sch  l,AUT,Austria
fe11e227dd795f57e73d6a ae3a8f  ea6c5fbe3,f,1983,Masters  r pr fessi nal degree,USA,United States
fe11e227dd795f57e73d6a ae3a8f  ea6c5fbe3,f,1983,Masters  r pr fessi nal degree,HKG,H ng K ng
a541e7a4dac3 5e46 17ac8af433336 18ccadd7,m,1963,Bachel rs,ITA,Italy
a719c2aa2b31ab3c6c26bb14d3a2f295799917 7,f,1981,D ct rate,RUS,Russian Federati n
e915ec6c85469a5e8273d9e4d 611387c582983a,, ,Bachel rs,USA,United States
cf314a711e5b a3a9b8d71e8aa554e7dd38 a4a8,m,1986,Masters  r pr fessi nal degree,DEU,Germany
b34e21dfac195ee85 22aaad522c7b9f536134ba,f,1986,Masters  r pr fessi nal degree,HKG,H ng K ng
348897acd1d5fe131b69e3a3e4d13d4dfe8ace8 ,f,199,Bachel rs,IND,India
e6c1b5b621b5f 3f46b18 78cf55e3 ffd3db5 a,m,1955,Masters  r pr fessi nal degree,HUN,Hungary
8a8b6bb29794713bfd1b3afc2f a529335d226e ,f,198,Masters  r pr fessi nal degree,NLD,Netherlands
aedbf82687efd3246691 15542f773dea8dd475a,f,1983,Masters  r pr fessi nal degree,RUS,Russian Federati n
27fca352f7c49a 38126b d7c5f61372ba914866,f,1985,Bachel rs,ISR,Israel
927973ae26f79fb5a446377c1c784d85e6 f b 6,, ,User withheld,CHE,Switzerland
cd16cd7 74 afd4bb6f448dbc5158 85c3231f83,f,1987,Bachel rs,IND,India
b9e73c41de ed872 e7b52e36a2ddcd25b1e7b19,f,1971,Bachel rs,USA,United States
d62b145b  e3ea26d3adf9fabcec5db c561d429,f,1978,Masters  r pr fessi nal degree,ESP,Spain
82a f895 a859c658776422c165d57a21563de 4,, ,User withheld,CHN,China
82a f895 a859c658776422c165d57a21563de 4,, ,User withheld,USA,United States
611fc3f58b74ef5ff76e7478e c6545cffe41f63,m,1988,Masters  r pr fessi nal degree,NLD,Netherlands
611fc3f58b74ef5ff76e7478e c6545cffe41f63,m,1988,Masters  r pr fessi nal degree,ITA,Italy
29fca19cd5d27273 d97319572d8664a 111c1b8,, ,User withheld,P L,P land
29fca19cd5d27273 d97319572d8664a 111c1b8,, ,User withheld,USA,United States
